autor,titulo,poema,numero_total_estrofas,versos_por_estrofa,distribucion_silabas_estrofas,entropia_lexica_sust_adj
damaso alonso,ejemplos,"
la veleta, la cigarra.
pero el molino, la hormiga.

muele pan, molino, muele.
trenza, veleta, poesía.

lo que marta laboraba,
se lo soñaba maría.

dios, no es verdad, dios no supo
cuál de las dos prefería.

porque él era sólo el viento
que mueve y pasa y no mira.
",5,"[2, 2, 2, 2, 2]","{1: [8, 10], 2: [8, 6], 3: [8, 7], 4: [11, 7], 5: [9, 10]}",3.392747410448785
damaso alonso,el niño y la cometa,"
El niño se sonreía
—mano inhábil, ojo atento­—
y la cometa en el viento
(su corazón) se cernía.
Ave, cometa, de un día
su corazón soñoliento.
Pues el corazón quería
huir —pero no podía,
pero no sabía­ al viento.
",1,[9],"{1: [6, 9, 9, 8, 7, 8, 7, 6, 8]}",2.6464393446710157
damaso alonso,el viento de noche,"
El viento es un can sin dueño,
que lame la noche inmensa.
La noche no tiene sueño.
Y el hombre, entre sueños, piensa.

Y el hombre sueña, dormido,
que el viento es un can sin dueño,
que aúlla a sus pies tendido
para lamerle el ensueño.

Y aun no ha sonado la hora.

La noche no tiene sueño:
¡alerta, la veladora!
",4,"[4, 4, 1, 2]","{1: [9, 9, 8, 11], 2: [9, 10, 9, 9], 3: [10], 4: [8, 8]}",3.6635327548042547
damaso alonso,entre mis manos cogí,"
        Entre mis manos cogí
        un puñadito de tierra.
        Soplaba el viento terrero.
        La tierra volvió a la tierra.

        Entre tus manos me tienes,
        tierra soy.
        El viento orea
        tus dedos, largos de siglos.

        Y el puñadito de arena
        -grano a grano, grano a grano-
        el gran viento se lo lleva.
    ",3,"[4, 4, 3]","{1: [7, 8, 9, 9], 2: [8, 4, 4, 10], 3: [9, 10, 8]}",3.2608281712244556
damaso alonso,"gota pequeña, mi dolor","
        gota pequeña, mi dolor.
        la tiré al mar.
        al hondo mar.
        luego me dije: «a tu sabor,
        ¡ya puedes navegar!»

        mas me perdió la poca fe...
        la poca fe
        de mi cantar.
        entre onda y cielo naufragué.

        y era un dolor inmenso el mar.
    ",3,"[5, 4, 1]","{1: [9, 6, 5, 10, 7], 2: [8, 4, 5, 10], 3: [11]}",3.3787834934861753
damaso alonso,gozo del tacto,"
Estoy vivo y toco
Toco, toco, toco.
Y no, no estoy loco.

Hombre, toca, toca
lo que te provoca:
seno, pluma, roca,

pues mañana es cierto
que ya estarás muerto,
tieso, hinchado, yerto.

Toca, toca, toca,
¡qué alegría loca!
Toca. Toca. Toca.
",4,"[3, 3, 3, 3]","{1: [7, 6, 7], 2: [6, 6, 5], 3: [7, 7, 7], 4: [6, 6, 6]}",3.121928094887363
damaso alonso,hijos de la ira,"
Y esta mujer se ha despertado en la noche,
y estaba sola,
y ha mirado a su alrededor,
y estaba sola,
y ha comenzado a correr por los pasillos del tren,
de un vagón a otro,
y estaba sola,
y ha buscado al revisor, a los mozos del tren,
a algún empleado,
a algún mendigo que viajara oculto bajo un asiento,
y estaba sola,
y ha gritado en la oscuridad,
y estaba sola,
y ha preguntado en la oscuridad,
y estaba sola,
y ha preguntado
quién conducía,
quién movía aquel horrible tren.
Y no le ha contestado nadie,
porque estaba sola,
porque estaba sola.
Y ha seguido días y días,
loca, frenética,
en el enorme tren vacío,
donde no va nadie,
que no conduce nadie.
",1,[26],"{1: [15, 6, 12, 6, 16, 6, 6, 16, 6, 17, 6, 12, 6, 13, 6, 6, 4, 8, 10, 7, 7, 9, 6, 7, 6, 7]}",3.821928094887363
damaso alonso,hombre,"
hombre,
gárrula tolvanera
entre la torre y el azul redondo,
vencejo de una tarde, algarabía
desierta de un verano.

hombre, borrado en la expresión, disuelto
en ademán; sólo flautín bardaje,
sólo terca trompeta,
híspida en el solar contra las tapias.

hombre,
melancólico grito,
¡oh solitario y triste
garlador!: ¿dices algo, tienes algo
que decir a los hombres o a los cielos?
¿y no es esa amargura
de tu grito, la densa pesadilla
del monólogo eterno y sin respuesta?

hombre,
cárabo de tu angustia,
agüero de tus días
estériles, ¿qué aullas, can, qué gimes?
¿se te ha perdido el amo?

no: se ha muerto.
¡se te ha podrido el amo en noches hondas,
y apenas sólo es ya polvo de estrellas!
deja, deja ese grito,
ese inútil plañir sin eco, en vano.
porque nadie te oirá. solo. estás sólo.
",5,"[5, 4, 8, 5, 6]","{1: [2, 7, 11, 11, 7], 2: [14, 10, 7, 12], 3: [2, 7, 8, 12, 13, 7, 11, 11], 4: [2, 8, 5, 14, 8], 5: [5, 14, 14, 7, 9, 13]}",5.202368167875317
damaso alonso,hombre y dios,"
Hombre es amor. Hombre es un haz, un centro
donde se anuda el mundo. Si Hombre falla
otra vez el vacío y la batalla
del primer caos y el Dios que grita «¡Entro!»

Hombre es amor, y Dios habita dentro
de ese pecho y profundo, en él se acalla;
con esos ojos fisga, tras la valla,
su creación, atónitos de encuentro.

Amor-Hombre, total rijo sistema
yo (mi Universo). ¡Oh Dios, no me aniquiles
tú, flor inmensa que en mi insomnio creces!

Yo soy tu centro para ti, tu tema
de hondo rumiar, tu estancia y tus pensiles.
Si me deshago, tú desapareces.
",4,"[4, 4, 3, 3]","{1: [14, 13, 10, 13], 2: [12, 13, 9, 11], 3: [11, 14, 14], 4: [11, 16, 11]}",4.720049960644813
damaso alonso,insomnio,"
        madrid es una ciudad de más de un millón de cadáveres (según las últimas estadísticas).
        a veces en la noche yo me revuelvo y me incorporo en este nicho en el que hace 45 años que me pudro,
        y paso largas horas oyendo gemir al huracán, o ladrar los perros, o fluir blandamente la luz de la luna.
        y paso largas horas gimiendo como el huracán, ladrando como un perro enfurecido, fluyendo como la leche de la ubre caliente de una gran vaca amarilla.
        y paso largas horas preguntándole a dios, preguntándole por qué se pudre lentamente mi alma,
        por qué se pudren más de un millón de cadáveres en esta ciudad de madrid,
        por qué mil millones de cadáveres se pudren lentamente en el mundo.
        dime, ¿qué huerto quieres abonar con nuestra podredumbre?
        ¿temes que se te sequen los grandes rosales del día, las tristes azucenas letales de tus noches?
    ",1,[9],"{1: [29, 34, 34, 51, 32, 24, 22, 16, 29]}",4.7857544849781775
damaso alonso,la madre,"
No me digas
que estás llena de arrugas, que estás llena de sueño,
que se te han caído los dientes,
que ya no puedes con tus pobres remos hinchados,
deformados por el veneno del reuma.

No importa, madre, no importa.
Tú eres siempre joven,
eres una niña,
tienes once años.
Oh, sí, tú eres para mí eso: una candorosa niña.

Y verás que es verdad si te sumerges en esas lentas aguas, en esas aguas poderosas,
que te han traído a esta ribera desolada.
Sumérgete, nada a contracorriente, cierra los ojos,
y cuando llegues, espera allí a tu hijo.
Porque yo también voy a sumergirme en mi niñez antigua,
pero las aguas que tengo que remontar hasta casi la fuente,
son mucho más poderosas, son aguas turbias, como teñidas de sangre.
Óyelas, desde tu sueño, cómo rugen,
cómo quieren llevarse al pobre nadador.
¡Pobre del nadador que somorguja y bucea en ese mar salobre de la memoria!

...Ya ves: ya hemos llegado.
¿No es una maravilla que los dos hayamos arribado a esta prodigiosa ribera de nuestra infancia?
Si, así es como a veces fondean un mismo día en el puerto de Singapur dos naves,
y la una viene de Nueva Zelanda, la otra de Brest.
Así hemos llegado los dos, ahora, juntos.
Y ésta es la única realidad, la única maravillosa realidad:
que tú eres una niña y que yo soy un niño.

¿Lo ves, madre?
No se te olvide nunca que todo lo demás es mentira, que esto solo es verdad, la única verdad.
Verdad, tu trenza muy apretada, como la de esas niñas acabaditas de peinar ahora,
tu trenza, en la que se marcan tan bien los brillantes lóbulos del trenzado,
tu trenza, en cuyo extremo pende, inverosímil, un pequeño lacito rojo;
verdad, tus medias azules, anilladas de blanco, y las puntillas de los pantalones que te asoman por debajo de la falda;
verdad, tu carita alegre, un poco enrojecida, y la tristeza de tus ojos.
(Ah, ¿por qué está siempre la tristeza en el fondo de la alegría?)
¿Y adónde vas ahora? ¿Vas camino del colegio?

Ah, niña mía, madre,
yo, niño también, un poco mayor, iré a tu lado,
te serviré de guía,
te defenderé galantemente de todas las brutalidades de mis compañeros,
te buscaré flores,
me subiré a las tapias para cogerte las moras más negras, las más llenas de jugo,
te buscaré grillos reales, de esos cuyo cri-crí es como un choque de campanitas de plata.
¡Qué felices los dos, a orillas del río, ahora que va a ser el verano!

A nuestro paso van saltando las ranas verdes,
van saltando, van saltando al agua las ranas verdes:
es como un hilo continuo de ranas verdes,
que fuera repulgando la orilla, hilvanando la orilla con el río.
¡Oh qué felices los dos juntos, solos en esta mañana!
Ves: todavía hay rocío de la noche; llevamos los zapatos llenos de deslumbrantes gotitas.

¿O es que prefieres que yo sea tu hermanito menor?
Sí, lo prefieres.
Seré tu hermanito menor, niña mía, hermana mía, madre mía.
¡Es tan fácil!
Nos pararemos un momento en medio del camino,
para que tú me subas los pantalones,
y para que me suenes las narices, que me hace mucha falta
(porque estoy llorando; sí, porque ahora estoy llorando).

No. No debo llorar, porque estamos en un bosque.
Tú ya conoces las delicias del bosque (las conoces por los cuentos,
porque tú nunca has debido estar en un bosque,
o por lo menos no has estado nunca en esta deliciosa soledad, con tu hermanito).
Mira, esa llama rubia que velocísimamente repiquetea las ramas de los pinos,
esa llama que como un rayo se deja caer al suelo, y que ahora de un bote salta a mi hombro,
no es fuego, no es llama, es una ardilla.
¡No toques, no toques ese joyel, no toques esos diamantes!
¡Qué luces de fuego dan, del verde más puro, del tristísimo y virginal
amarillo, del blanco creador, del más hiriente blanco!
¡No, no lo toques!: es una tela de araña, cuajada de gotas de rocío.
Y esa sensación que ahora tienes de una ausencia invisible, como una
bella tristeza, ese acompasado y ligerísimo rumor de pies lejanos,
ese vacío, ese presentimiento súbito del bosque,
es la fuga de los corzos. ¿No has visto nunca corzas en huida?
¡Las maravillas del bosque! Ah, son innumerables; nunca te las podría
enseñar todas, tendríamos para toda una vida...

...para toda una vida. He mirado, de pronto, y he visto tu bello rostro lleno de arrugas,
el torpor de tus queridas manos deformadas,
y tus cansados ojos llenos de lágrimas que tiemblan.
Madre mía, no llores: víveme siempre en sueño.
Vive, víveme siempre ausente de tus años, del sucio mundo hostil,
de mi egoísmo de hombre, de mis palabras duras.
Duerme ligeramente en ese bosque prodigioso de tu inocencia,
en ese bosque que crearon al par tu inocencia y mi llanto.
Oye, oye allí siempre cómo te silba las tonadas nuevas tu hijo, tu hermanito, para arrullarte el sueño.
No tengas miedo, madre. Mira, un día ese tu sueño cándido se te hará
de repente más profundo y más nítido.
Siempre en el bosque de la primer mañana, siempre en el bosque
nuestro.
Pero ahora ya serán las ardillas, lindas, veloces llamas, llamitas de verdad;
y las telas de araña, celestes pedrerías;
y la huida de corzas, la fuga secular de las estrellas a la busca de Dios.
Y yo te seguiré arrullando el sueño oscuro, te seguiré cantando.
Tú oirás la oculta música, la música que rige el universo.
Y allá en tu sueño, madre, tú creerás que es tu hijo quien la envía.
Tal vez sea verdad: que un corazón es lo que mueve el mundo.
Madre, no temas. Dulcemente arrullada, dormirás en el bosque el más profundo sueño.
Espérame en tu sueño. Espera allí a tu hijo, madre mía.
",10,"[5, 5, 10, 7, 9, 8, 6, 8, 17, 22]","{1: [4, 17, 9, 15, 11], 2: [10, 6, 4, 6, 15], 3: [25, 15, 17, 13, 18, 18, 21, 12, 14, 25], 4: [10, 32, 26, 16, 14, 23, 13], 5: [5, 33, 26, 22, 26, 38, 26, 20, 13], 6: [6, 16, 6, 25, 6, 27, 31, 22], 7: [14, 15, 14, 20, 18, 30], 8: [17, 5, 20, 5, 16, 12, 20, 18], 9: [16, 21, 15, 30, 27, 30, 13, 17, 22, 16, 21, 21, 24, 15, 20, 22, 16], 10: [29, 15, 15, 14, 22, 16, 20, 17, 32, 22, 13, 19, 2, 28, 14, 26, 22, 20, 20, 19, 27, 19]}",7.319656637391928
damaso alonso,la victoria nueva,"
ésta es la nueva escultura:

pedestal, la tierra dura.
ámbito, los cielos frágiles.

el viento, la forma pura.
y el sueño, los paños ágiles.
",3,"[1, 2, 2]","{1: [10], 2: [9, 10], 3: [8, 10]}",3.700439718141093
damaso alonso,los consejos del tío dámaso a luis cristobal,"
Haz lo que tengas gana,
Cristobalillo,
lo que te dé la gana,
que es lo sencillo.

Llegaste a un mundo donde
manda la chacha,
mandan los mandamases
y hay poca lacha.

Caso nunca les hagas
a los mayores.
Los consejos de Dámaso
son los mejores.

Tira, mi niño, tira,
si te da gana,
los libros de papito
por la ventana.

Cuélgate de las lámparas y los manteles,
rompe a mamita el vaso
de los claveles.

¿Que hay pelotón de goma?
Chuta e impacta.
¡Duro con la pintura
llamada abstracta!

Rompe tazas y platos.
¡Viva el jolgorio
y las almas benditas
del purgatorio!

La mejor puntería
te la aconsejo
si es que se pone a tiro
cualquier espejo.

Aún hay más divertido:
coge chinillas,
y con un tiragomas,
¡a las bombillas!

Pero ahora se me ocurre
algo estupendo,
donde papá se encierra
vete corriendo.

¡Macho, cuántos papeles!
Tú, con cerillas,
vas y a papá le quemas
esas cosillas...

¡Verás qué cara pone!
¡Qué gracia tiene!
Anda, sin que te vea,
mira que viene.

Vamos a divertirnos
tú y yo, mi cielo.
Es un asco este mundo:
conviene que lo
pongamos boca abajo.
¡Es tan sencillo!
Vamos a hacer un mundo
nuevo, chiquillo!
",13,"[4, 4, 4, 4, 3, 4, 4, 4, 4, 4, 4, 4, 8]","{1: [7, 5, 7, 6], 2: [9, 5, 7, 6], 3: [7, 5, 8, 5], 4: [7, 5, 7, 5], 5: [14, 9, 6], 6: [8, 6, 7, 6], 7: [8, 6, 7, 5], 8: [6, 5, 9, 5], 9: [7, 6, 8, 6], 10: [8, 6, 8, 5], 11: [8, 6, 8, 5], 12: [7, 5, 6, 5], 13: [7, 6, 8, 5, 7, 5, 8, 5]}",5.3952223440710565
damaso alonso,los contadores de estrellas,"
        yo estoy cansado.
        miro
        esta ciudad
        una ciudad cualquiera
        donde hace veinte años vivo.

        todo está igual.
        un niño
        inútilmente cuenta las estrellas
        en el balcón vecino.

        yo me pongo también...
        pero él va más deprisa: no consigo
        alcanzarle:
        una, dos, tres, cuatro,
        cinco...

        no consigo
        alcanzarle: una, dos...
        tres...
        cuatro...
        cinco...
    ",4,"[5, 4, 5, 5]","{1: [6, 2, 4, 6, 9], 2: [6, 3, 10, 6], 3: [6, 12, 4, 6, 3], 4: [4, 7, 1, 3, 3]}",3.277613436819116
damaso alonso,luz a ciegas,"
Me pregunto otra vez:
¿Qué es la luz sin un ojo que la mire?

Sí, nosotros decimos:
“Enciéndeme la luz; apágala”,
“A la luz de la luna”,
“Qué luz la de estos días soleados de otoño”.

Todo, sensación, ilusión.
Tú interpretas la luz, que era negrura, ojo,
lo mismo que las ondas de la radio
son silencio y distancia,
hasta que el receptor las detiene y transforma.

Ay, ondas de la luz, ciega negrura.
",4,"[2, 4, 5, 1]","{1: [7, 11], 2: [8, 10, 7, 14], 3: [8, 14, 11, 8, 15], 4: [12]}",3.7034651896016477
damaso alonso,madrigal de las once,"
Desnudas han caído
las once campanadas.

Picotean la sombra de los árboles
las gallinas pintadas
y un enjambre de abejas
va rezongando encima.

La mañana
ha roto su collar desde la torre.

En los troncos, se rascan las cigarras.

Por detrás de la verja del jardín,
resbala,
quieta,
tu sombrilla blanca.
",5,"[2, 4, 2, 1, 4]","{1: [6, 8], 2: [11, 7, 8, 8], 3: [4, 11], 4: [13], 5: [11, 3, 2, 6]}",4.0
damaso alonso,mañana lenta,"
        mañana lenta,
        cielo azul,
        campo verde,
        tierra vinariega.
        y tú, mañana, que me llevas,
        carreta
        demasiado lenta,
        carreta demasiado llena
        de mi hierba nueva,
        temblorosa y fresca,
        que ha de llegar sin darme cuenta
        seca.
    ",1,[12],"{1: [5, 4, 4, 6, 10, 3, 6, 9, 6, 7, 10, 2]}",3.640223928941852
